type,source,english,chinese,comment
物品命名（修蕾莉亚）,高周波差圧発振器,High Frequency Pressure Differential Oscillator,高频压差振荡器,
物品命名（修蕾莉亚）,ブレーンウェーバ,Brain Weber,脑波机,
物品命名（修蕾莉亚）,ハーモ増幅器,Harmoamplifier,谐调增幅器,
物品命名（修蕾莉亚）,リバースコア,Reverse Core,重生核心,
物品命名（修蕾莉亚）,ソリッドうさこ,Solid Bunny,固态兔,
物品命名（修蕾莉亚）,うさライス,Bunny Rice,兔饭,
物品命名（修蕾莉亚）,めかうさ,Mecha Bunny,机械兔,
物品命名（修蕾莉亚）,メシジュース,Food Juice,饭汁,
物品命名（修蕾莉亚）,白銀の騎士,Silvershine Knight,白银骑士,
物品命名（修蕾莉亚）,お手軽万能槍,Simple All-Purpose Spear,简便万能矛,
物品命名（修蕾莉亚）,命知らずの銃,Daredevil Cannon,亡命徒之枪,
物品命名（修蕾莉亚）,魔界の剣,ー,魔界之剑,
物品命名（修蕾莉亚）,老若男女一日一善,A Good Deed A Day for All Humans,男女老少日行一善,
物品命名（修蕾莉亚）,大黒屋番頭,Hyper-Wealthy Head Clerk,大黑屋总管,
物品命名（修蕾莉亚）,復讐の指輪,ー,复仇的指环,
敌人名（波姆类）,ポム,pom,波姆,
敌人名（波姆类）,マロンポム,Melon Pom,栗子波姆,
敌人名（波姆类）,モモポム,PeachyPom,桃子波姆,
敌人名（波姆类）,ネリポム,KneadedPom,凝练波姆,
敌人名（波姆类）,メタルポム,MetalPom,金属波姆,
敌人名（波姆类）,プリズムポム,Prism Pom,棱镜波姆,
敌人名（波姆类）,トリオ・ザ・ポム,Trio de Pom,三重•波姆,
敌人名（波姆类）,でかポム,Big Pom,超级波姆,
敌人名（波姆类）,ちびポム,Tiny Pom,小波姆,
敌人名（植物类）,フラフラワー,Hulaflower,呼啦花,
敌人名（植物类）,ヨロレイフラワー,Yodelflower,约德尔花,
敌人名（植物类）,ゴスペラワー,Gospelflower,福音花,
敌人名（植物类）,パクパクフラワー,Yumyum Flower,啊呜啊呜花,
敌人名（植物类）,カノンフラワー,Cannon flower,加农花,
敌人名（植物类）,ギロチンフラワー,Gillotine flower,断头台花,
敌人名（植物类）,でらフラワー,Gigaflower,超级花,
敌人名（野兽类）,野犬,StrayDog,野狗,
敌人名（野兽类）,マッドドッグ,Mad Dog,疯狗,
敌人名（野兽类）,あらくれウルフ,Feral Wolf,凶暴狼,
敌人名（野兽类）,ナイトストーカー,Night Starlker,夜袭者,
敌人名（野兽类）,ミストウォーカー,Mist Walker,迷雾行者,
敌人名（佣兵类）,傭兵,Mercenary,佣兵,
敌人名（佣兵类）,さすらい剣士,Wandering Swordsman,流浪剑士,
敌人名（佣兵类）,サムライマン,Samuraiman,武士,
敌人名（佣兵类）,達人,Sword adept,达人,
敌人名（佣兵类）,ごろつき,Rogue,流氓,
敌人名（佣兵类）,ブレイドマスター,Blademaster,剑圣,
敌人名（警备兵类）,天覇警備兵,Tenba Security,天霸警备兵,
敌人名（警备兵类）,ガードマン,Gardsman,保安,
敌人名（警备兵类）,特装機動兵,Armed Guard,特装机动兵,
敌人名（警备兵类）,クルセイダー,Crusader,圣骑士,
敌人名（警备兵类）,シャドウマン,Shadowman,替身,
敌人名（警备兵类）,スペシャリスト,Specialist,专家,
敌人名（神官类）,神官の亡霊,PriestSpirit,神官亡灵,
敌人名（神官类）,テンプルナイト,TempleGard,神殿骑士,
敌人名（神官类）,テンプルマスター,TempleMaster,神殿统帅,
敌人名（神官类）,ファナティック,Fantic,狂热教徒,
敌人名（神官类）,異端の使徒,Heretic Discple,异端使徒,
敌人名（神官类）,デストロイド,Deathroid,行骸,
敌人名（鸟类）,アードラ,Falcon Hawk,隼,
敌人名（鸟类）,ヴァルチャー,Vulture,鹫鹰,
敌人名（鸟类）,ロック,Roc,鹏鸟,
敌人名（鸟类）,ガルーダ,Garuda,迦楼罗,
敌人名（球类）,ビットボール,Bit Ball,比特球,
敌人名（球类）,ビットボール改,Bit Ball v2,比特球改,
敌人名（球类）,ブラスト・アイ,Blast Eye,暴风眼,
敌人名（球类）,ハイパービット,Hyper Bit,超级比特,
敌人名（球类）,フレイムガーダー,Flame Guarder,火焰守卫,
敌人名（球类）,アイスガーダー,Ice Guarder,冰霜守卫,
敌人名（球类）,エレキガーダー,Electric Guarder,电击守卫,
敌人名（球类）,ウインドガーダー,Wind Guarder,疾风守卫,
敌人名（球类）,ビッグガーダー,Big Guarder,大型守卫,
敌人名（球类）,マザービット,Mother Bit,母比特,
敌人名（球类）,マザービット改,Mother Bit v 2,母比特改,
敌人名（球类）,サテライトスター,Satellite Star,卫星,
敌人名（球类）,機神の瞳,Eye of Machine God,机神之瞳,
敌人名（机械类）,弐式,TypeII,贰式,
敌人名（机械类）,参式,Type III,叁式,
敌人名（机械类）,無式,Prototype,无式,
敌人名（机械类）,二八式,Type 28,二八式,
敌人名（机械类）,四八式,Type 48,四八式,
敌人名（机械类）,八八式,Type 88,八八式,
敌人名（机械类）,零式,TypeZero,零式,
敌人名（机械类）,裏零式,Type Un−Zero,里零式,
敌人名（机械类）,零,Zero,零,
敌人名（龙类）,ワイアーム,Wyrm,飞龙,
敌人名（龙类）,サンダーアーム,Thunder Wyrm,雷电飞龙,
敌人名（龙类）,ヘルストーム,Hellstorm,地狱风暴,
敌人名（龙类）,ミニアーム,MiniWyrm,迷你飞龙,
敌人名（龙类）,ワイバーン,Wyvern,双足飞龙,
敌人名（龙类）,エアバーン,BlueWyvern,空气双足飞龙,
敌人名（龙类）,フレイムティアー,FlameWyvern,火焰之泪,
敌人名（龙类）,ミニバーン,MiniWyvern,迷你双足飞龙,
敌人名（龙类）,エンリュー,Drake,炎龙,
敌人名（龙类）,ドクリュー,PoisonDrake,毒龙,
敌人名（龙类）,リュージーン,Drake Lord,龙王,
敌人名（龙类）,ミニドラ,MiniDrake,迷你龙,
敌人名（少女Ⅰ类）,ビーストユーザー,BeastUser,驭兽者,
敌人名（少女Ⅰ类）,ビーストマスター,Beast Master,驭兽师,
敌人名（少女Ⅰ类）,ビーストミュール,BeastLord,驭兽缪尔,
敌人名（少女Ⅱ类）,バードユーザー,BirdUser,驭禽者,
敌人名（少女Ⅱ类）,バードマスター,BirdMaster,驭禽师,
敌人名（少女Ⅱ类）,バードミュール,BirdLord,驭禽缪尔,
敌人名（少女Ⅲ类）,メックユーザー,MechUser,驭械者,
敌人名（少女Ⅲ类）,メックマスター,Mech Master,驭械师,
敌人名（少女Ⅲ类）,メックミュール,MechLord,驭械缪尔,
敌人名（航空类）,バルタザール,Balthazar,巴尔大撒,
敌人名（航空类）,デルタオール,Deltathor,德尔塔欧尔,
敌人名（航空类）,イシュタムーン,Ishtamon,伊修塔姆恩,
敌人名（航空类）,メルキオール,Melchior,墨尔基,
敌人名（航空类）,ドルムゼーン,Droomzen,多尔姆泽恩,
敌人名（航空类）,バルハラーン,Valhallan,巴尔哈拉恩,
敌人名（航空类）,カスパー,Casper,加斯帕,
敌人名（航空类）,ダスザーク,Dathzak,达斯扎克,
敌人名（航空类）,ミラクリオス,Miraclious,米拉克利欧斯,
敌人名（狃？类）,にょ？,Nyo？,狃？,
敌人名（狃？类）,にょにょ？,Nyonyo？,狃狃？,
敌人名（狃？类）,ニョ！？,NYO！？,犭丑！？,
敌人名（狃？类）,でっかいにょ？,BigNyo？,大狃？,
敌人名（要塞类）,千弐拾伍式,Type 1025,壹零贰伍式 ,
敌人名（要塞类）,エアフォート・ワン,Air Fort One,空中要塞一号,
敌人名（要塞类）,オートブラスター,Auto Blaster,自动唤风者,
敌人名（其他）,トマポム,,番茄波姆,
敌人名（其他）,セラビースト,,驭兽少女,
敌人名（其他）,セラバード,,驭禽少女,
敌人名（其他）,セラハート,,驭心少女,
敌人名（其他）,セラリーダー,,少女领队,
敌人名（其他）,オーダーナイト,,团属骑士,
敌人名（其他）,オーダーガード,,团属守卫,
Boss,Ａ．Ｂ．Ｒ．α（1）,,Ａ．Ｂ．Ｒ．α（1）,
Boss,Ａ．Ｂ．Ｒ．α（2）,,Ａ．Ｂ．Ｒ．α（2）,
Boss,Ａ．Ｂ．Ｒ．β（1）,,Ａ．Ｂ．Ｒ．β（1）,
Boss,Ａ．Ｂ．Ｒ．β（2）,,Ａ．Ｂ．Ｒ．β（2）,
Boss,Ａ．Ｂ．Ｒ．γ（1）,,Ａ．Ｂ．Ｒ．γ（1）,
Boss,Ａ．Ｂ．Ｒ．γ（2）,,Ａ．Ｂ．Ｒ．γ（2）,
Boss,ＥＬＭＡ－?（1）,,ＥＬＭＡ－?（1）,
Boss,ＥＬＭＡ－?（2）,,ＥＬＭＡ－?（2）,
Boss,ウォルファントム,,魅影之狼,
Boss,ガーディアン,,守卫,
Boss,シャドウ・ミュール（腹）,,影缪尔（腹）,
Boss,シャドウ・ミュール（魔神）,,影缪尔（魔神）,
Boss,シャドウ・ミュール（頭）,,影缪尔（头）,
Boss,シャドウ・ミュール（腕）,,影缪尔（臂）,
Boss,シュレリア,,修蕾莉亚,
Boss,スレイプニル,,斯莱普尼尔,
Boss,タスティエーラ,,塔丝缇爱拉,
Boss,ドラゴンヘッド,,龙首,
Boss,ファルス司祭,,法尔斯司祭,
Boss,フラウト,,弗劳特,
Boss,ボルド・レード（1）,,博尔德·雷德（1）,
Boss,ボルド・レード（2）,,博尔德·雷德（2）,
Boss,ミュール,,缪尔,
Boss,斑鳩二号,,斑鸠二号,
Boss,イカルガ二号,,斑鸠二号,
Boss,斑鳩一号,,斑鸠一号,
Boss,イカルガ一号,,斑鸠一号,
Boss,飛鳥,,飞鸟,
Boss,光の御子,,光之巫女,
Boss,絢胤,,绚胤,
敌人技能（波姆类）,ポムたっくる,,波姆暴击,単体物理攻撃
敌人技能（波姆类）,ポムばっど,,波姆坏坏,単体物理攻撃
敌人技能（波姆类）,ジャンピングトゲ,,跳刺,物理溜め攻撃（Lv.1）
敌人技能（波姆类）,自己進化,,自我进化,自身の攻撃力、防御力、素早さを強化
敌人技能（波姆类）,ポムブラスト,,波姆爆炸,単体炎属性攻撃
敌人技能（波姆类）,トリプルアタック,,三重攻击,単体物理攻撃
敌人技能（波姆类）,乱れトリプル,,三重乱击,物理溜め攻撃（Lv.2）＋3Hit
敌人技能（植物类）,がぶりつき,,咬击,単体物理攻撃
敌人技能（植物类）,癒しの花粉,,治愈花粉,カウンター（自分の HP 回復）
敌人技能（植物类）,再生能力,,再生能力,自動的にＨＰが回復
敌人技能（植物类）,ねむねむガス,,眠眠气体,単体物理攻撃＋眠り効果
敌人技能（植物类）,溶解ビーム,,溶解光束,魔法溜め攻撃（Lv.1）
敌人技能（植物类）,どくどくガス,,毒毒气体,単体物理攻撃＋毒効果
敌人技能（植物类）,びりびりガス,,麻麻气体,単体物理攻撃＋マヒ効果
敌人技能（植物类）,アブない花粉,,危险花粉,全体攻撃＋呪い効果
敌人技能（植物类）,フラワーショット,,花之炮,魔法溜め攻撃（Lv.2）
敌人技能（植物类）,ばたばたガス,,倒倒气体,単体物理攻撃＋即死効果
敌人技能（植物类）,アシッドレイン,,酸雨,魔法溜め攻撃（Lv.3）
敌人技能（植物类）,ミエない花粉,,致盲花粉,全体攻撃＋暗闇効果
敌人技能（野兽类/龙类）,かみつき,,咬噬,単体物理攻撃
敌人技能（野兽类）,眠りかみつき,,催眠咬噬,単体物理攻撃＋眠り効果
敌人技能（野兽类）,雄たけび,,嘶吼,全体攻撃力ダウン
敌人技能（野兽类）,鳴神,,鸣神,雷属性溜め攻撃（Lv.2）
敌人技能（野兽类/龙类）,どくかみつき,,毒性咬噬,単体物理攻撃＋毒効果
敌人技能（野兽类）,ヘルブレス,,地狱之息,炎属性溜め攻撃（Lv.1）＋3Hit
敌人技能（野兽类/龙类）,マヒかみつき,,麻痹咬噬,単体物理攻撃＋マヒ効果
敌人技能（野兽类）,カースドブレス,,诅咒之息,全体物理攻撃＋呪い効果＋3Hit
敌人技能（野兽类）,火走,,火走,炎属性溜め攻撃（Lv.2）
敌人技能（野兽类/机械类）,物理無効,,物理免疫,物理攻撃を一切受け付けない
敌人技能（野兽类/龙类）,超かみつき,,超级咬噬,単体物理攻撃
敌人技能（野兽类）,ミストブレス,,迷雾之息,全体攻撃＋暗闇効果＋3Hit
敌人技能（野兽类）,ハウリング,,嗥叫,自身の攻撃力、防御力、素早さを強化
敌人技能（野兽类）,キリングステップ,,杀戮步伐,物理溜め攻撃（Lv.3）＋10Hit
敌人技能（佣兵类）,たたっキル,,重斩,単体物理攻撃
敌人技能（佣兵类）,気合入れ,,集中,自身の攻撃力強化
敌人技能（佣兵类）,ブッタ斬る,,斩佛,物理溜め攻撃（Lv.1）
敌人技能（佣兵类）,ＭＩＮＥ－ＵＣＨＩ,,刀背击,単体物理攻撃＋マヒ効果
敌人技能（佣兵类）,雷光斬り,,雷光斩,単体物理攻撃＋雷追加
敌人技能（佣兵类）,いかづち,,雷击,雷属性攻撃＋3Hit
敌人技能（佣兵类）,三枚おろし,,剔骨斩,物理溜め攻撃（Lv.2）＋3Hit
敌人技能（佣兵类）,疾風斬り,,疾风斩,単体物理攻撃＋風追加
敌人技能（佣兵类）,御命頂戴,,纳命来,即死攻撃
敌人技能（佣兵类）,火炎斬,,火焰斩,単体物理攻撃＋炎追加
敌人技能（佣兵类）,神速,,神速,自身の素早さ強化
敌人技能（警备兵类）,ファストショット,,快速射击,単体物理攻撃
敌人技能（警备兵类）,ポイゾンショット,,毒弹,単体物理攻撃＋毒効果
敌人技能（警备兵类）,ＫＥＩ－ＢＯ,,警棍,単体物理攻撃
敌人技能（警备兵类）,スーパーショット,,超级射击,物理溜め攻撃（Lv.1）
敌人技能（警备兵类）,フルオート,,全自动射击,物理溜め攻撃（Lv.1）＋8Hit
敌人技能（警备兵类）,電磁ＫＥＩ－ＢＯ,,电磁警棍,単体物理攻撃＋雷追加
敌人技能（警备兵类）,スリープショット,,催眠弹,単体物理攻撃＋眠り効果
敌人技能（警备兵类）,凍傷ＫＥＩ－ＢＯ,,冻伤警棍,単体物理攻撃＋氷追加
敌人技能（警备兵类）,フルコンビネーション,,全连段,単体物理攻撃＋10Hit
敌人技能（神官类）,神殿突き,,神殿突击,単体物理攻撃
敌人技能（神官类）,呪いの言霊,,诅咒的言灵,魔法溜め攻撃（Lv.1）
敌人技能（神官类）,天罰の光,,天罚之光,単体魔法攻撃
敌人技能（神官类）,ブレシング,,祝颂,攻撃力、防御力強化
敌人技能（神官类）,ヒーリング,,治愈,ＨＰ回復
敌人技能（神官类）,ソウルドレイン,,灵魂吸收,魔法溜め吸収攻撃（Lv.2）
敌人技能（神官类）,サモンヘルファイア,,召唤地狱火,炎属性溜め攻撃（Lv.2）
敌人技能（神官类）,シャドウアタック,,暗影攻击,単体物理攻撃＋暗闇効果＋2Hit
敌人技能（神官类）,サモントルネイド,,召唤龙卷风,風属性溜め攻撃（Lv.3）＋3Hit
敌人技能（鸟类/龙类）,急降下,,俯冲,単体物理攻撃
敌人技能（鸟类）,真空波,,真空波,全体物理攻撃
敌人技能（鸟类）,衝撃波,,冲击波,全体物理攻撃
敌人技能（鸟类）,超ダイブ,,超级俯冲,物理溜め攻撃（Lv.1）
敌人技能（鸟类/航空类/要塞类）,スカイドライブ,,飞行撞击,単体物理攻撃
敌人技能（鸟类）,火鳥風絶,,火鸟风绝,全体炎＋風属性攻撃
敌人技能（鸟类）,超絶竜巻,,超绝龙卷,全体風属性攻撃＋暗闇効果＋5Hit
敌人技能（鸟类）,神鳥,,神鸟,物理溜め攻撃（Lv.3）
敌人技能（球类）,スクリューダイブ,,螺旋俯冲,単体物理攻撃
敌人技能（球类）,アラーム,,警铃,ビットボール召還
敌人技能（球类）,怪光線,,怪光线,単体物理攻撃＋マヒ効果
敌人技能（球类/机械类/航空类）,自己修復,,自我修复,自身のＨＰ回復
敌人技能（球类）,スーパーボム,,超级炸弹,全体炎属性攻撃（自爆技）
敌人技能（球类）,アイスビーム,,冰结光束,単体氷属性攻撃
敌人技能（球类）,救援要請,,请求支援,ウインドガーダー召還
敌人技能（球类）,レーザー,,激光,単体物理攻撃
敌人技能（球类）,ファイアシールド,,火焰护盾,全体炎耐性上昇
敌人技能（球类）,アイスシールド,,寒冰护盾,全体氷耐性上昇
敌人技能（球类）,エレキシールド,,雷电护盾,全体雷耐性上昇
敌人技能（球类）,ウインドシールド,,疾风护盾,全体風耐性上昇
敌人技能（球类）,フルバリア,,完全护盾,全体全耐性上昇
敌人技能（球类）,電磁レーザー,,电磁激光,雷属性溜め攻撃（Lv.2）
敌人技能（球类/要塞类）,ビットアタック,,比特攻击,単体物理攻撃＋3Hit
敌人技能（球类/要塞类）,オールレンジ,,全域攻击,物理溜め攻撃（Lv.2）＋10Hit
敌人技能（机械类）,Ｋ－ＢＬＡＤＥ,,Ｋ－ＢＬＡＤＥ,単体物理攻撃＋毒効果
敌人技能（机械类）,Ｐ－ＡＺＭＡ,,Ｐ－ＡＺＭＡ,単体雷属性攻撃＋マヒ効果＋3Hit
敌人技能（机械类）,Ｈ－ＬＩＮＧ,,Ｈ－ＬＩＮＧ,体力回復
敌人技能（机械类）,Ｓ－ＲＡＩＮ,,Ｓ－ＲＡＩＮ,単体物理攻撃＋20Hit
敌人技能（机械类）,Ｄ－ＰＩＥＲＣＥ,,Ｄ－ＰＩＥＲＣＥ,物理溜め攻撃（Lv.3）
敌人技能（机械类）,Ｘ－ＣＵＴ,,Ｘ－ＣＵＴ,単体物理攻撃
敌人技能（机械类）,Ｋ－ＲＡＹ,,Ｋ－ＲＡＹ,単体物理攻撃
敌人技能（机械类）,Ｓ－ＢＯＯＳＴ,,Ｓ－ＢＯＯＳＴ,攻撃力、防御力アップ
敌人技能（机械类）,Ｔ－ＬＡＺＥＲ,,Ｔ－ＬＡＺＥＲ,物理溜め攻撃（Lv.2）
敌人技能（机械类）,Ｂ－ＳＬＡＳＨ,,Ｂ－ＳＬＡＳＨ,物理溜め攻撃（Lv.3）
敌人技能（机械类）,Ｚ－ＳＴＡＢ,,Ｚ－ＳＴＡＢ,単体物理攻撃
敌人技能（机械类）,Ｐ－ＡＲＭＯＲ,,Ｐ－ＡＲＭＯＲ,自身の防御力アップ
敌人技能（机械类）,Ｓ－ＫＩＬＬＥＲ,,Ｓ－ＫＩＬＬＥＲ,単体物理攻撃＋即死効果
敌人技能（龙类）,強襲,,强袭,物理溜め攻撃（Lv.1）＋2Hit
敌人技能（龙类）,コールライトニング,,雷电召唤,全体雷属性攻撃＋マヒ効果
敌人技能（龙类）,電光石火,,电光石火,単体物理攻撃＋雷追加
敌人技能（龙类）,巻き上げ竜巻,,龙卷风,単体物理攻撃＋風追加
敌人技能（龙类）,ブリザード,,暴风雪,全体氷属性攻撃＋素早さ低下
敌人技能（龙类）,タイニーアイス,,微弱之冰,単体氷属性攻撃
敌人技能（龙类）,大旋風,,大旋风,全体風属性攻撃＋3Hit
敌人技能（龙类）,焔薙,,焰薙,単体物理攻撃＋炎追加
敌人技能（龙类）,業火,,业火,全体炎属性攻撃
敌人技能（龙类）,タイニーサンダー,,微弱之雷,単体雷属性攻撃
敌人技能（龙类）,炎のブレス,,火炎之息,全体炎属性攻撃＋4Hit
敌人技能（龙类）,毒霧,,毒雾,全体攻撃＋毒効果
敌人技能（龙类）,飛竜特攻,,飞龙特攻,単体物理攻撃
敌人技能（龙类）,オーロラブレス,,极光之息,全体攻撃＋眠り効果＋4Hit
敌人技能（龙类）,天変地異,,天灾地变,全属性溜め攻撃（Lv.3）
敌人技能（龙类）,タイニーファイア,,微弱之炎,単体炎属性攻撃
敌人技能（少女Ⅰ类）,獣を呼ぶ唄,,唤兽之歌,マッドドッグ召還
敌人技能（少女Ⅰ/Ⅱ/Ⅲ类）,ライフウォーム,,生命之温暖,体力回復
敌人技能（少女Ⅰ/Ⅱ/Ⅲ类）,気の玉,,气之珠,溜め攻撃（Lv.1）
敌人技能（少女Ⅰ/Ⅱ/Ⅲ类）,ライフリフレッシュ,,生命之恢复,体力回復
敌人技能（少女Ⅰ类）,プラズマボール,,等离子球,雷属性溜め攻撃（Lv.1）＋6Hit
敌人技能（少女Ⅰ类）,大地のホルン,,大地号角,全体魔法攻撃
敌人技能（少女Ⅰ/Ⅱ/Ⅲ类）,ライフシャワー,,生命之淋浴,体力回復
敌人技能（少女Ⅰ类）,地獄極楽わんこ,,地狱极乐狗狗,炎属性溜め攻撃（Lv.3）＋5Hit
敌人技能（少女Ⅱ类）,鳥を呼ぶ唄,,唤鸟之歌,ヴァルチャー召還
敌人技能（少女Ⅱ类）,しゃくねつ熱波,,扭曲的热浪,炎属性溜め攻撃（Lv.1）
敌人技能（少女Ⅱ类）,うつうつ飛竜,,郁郁飞龙,溜め攻撃（Lv.3）＋6Hit
敌人技能（少女Ⅲ类）,ヒエヒエ塊落とし,,天落冰块,氷属性溜め攻撃（Lv.2）
敌人技能（少女Ⅲ类）,機械を呼ぶ唄,,唤械之歌,ハイパービット召還
敌人技能（少女Ⅲ类）,ピーヒョロ笛,,鸟鸣笛,全能力大幅減
敌人技能（少女Ⅲ类）,ガーディアンコール,,召唤守卫,溜め攻撃（Lv.3）
敌人技能（航空类）,ダイブアタック,,俯冲攻击,単体物理攻撃
敌人技能（航空类）,ホーミングショット,,制导弹,全体物理攻撃
敌人技能（航空类）,メガカノン,,巨炮,物理溜め攻撃（Lv.1）
敌人技能（航空类）,壱式単発銃,,壹式单发枪,単体物理攻撃＋炎追加
敌人技能（航空类）,誘爆,,引爆,他の敵に巻き添えダメージ
敌人技能（航空类）,火炎放射,,火焰喷射,全体炎属性攻撃
敌人技能（航空类）,絶対零度,,绝对零度,全体氷属性攻撃＋素早さダウン
敌人技能（航空类/要塞类）,弐式連装銃,,贰式连发枪,単体物理攻撃＋炎追加＋5Hit
敌人技能（航空类）,エナジードレイン,,能量汲取,単体吸収攻撃＋攻撃力ダウン
敌人技能（航空类）,敵陣大爆発,,敌阵大爆炸,全体炎属性ダメージ（自爆技）
敌人技能（狃？类）,にょっＡ,,狃A,単体物理攻撃
敌人技能（狃？类）,にょっＢ,,狃B,味方の体力を回復
敌人技能（狃？类）,にょっＣ,,狃C,単体物理攻撃＋4Hit
敌人技能（要塞类）,バーンミサイル,,燃烧导弹,単体炎属性攻撃
敌人技能（要塞类）,警報,,警报,イシュタムーン召還
敌人技能（要塞类）,ダブルビーム,,二重光束,単体物理攻撃
敌人技能（要塞类）,メテオ・バースト,,流星爆发,物理溜め攻撃（Lv.3）
敌人技能（其他）,トマトアタック,,番茄攻击,単体物理攻撃＋毒効果
敌人技能（其他）,緑のたけのこ,,绿色竹笋,単体物理攻撃＋防御力ダウン
敌人技能（其他）,青春真逆様,,青春大混乱,単体物理攻撃＋全能力ダウン
敌人技能（其他）,ぷわぞんくーる,,恶毒冷淡,雷属性溜め攻撃（Lv.3）
敌人技能（其他）,勧誘夢世界,,劝诱梦世界,眠り効果＋防御力ダウン
敌人技能（其他）,フォーリンラヴ,,坠入爱河,氷属性溜め攻撃（Lv.3）
敌人技能（其他）,君以外不可視,,眼中只有你,暗闇効果＋攻撃力ダウン
敌人技能（其他）,ハートストライク,,心之一击,全属性溜め攻撃（Lv.3）
敌人技能（其他）,女子大爆発,,女子大爆炸,全体炎攻撃＋呪い効果
敌人技能（其他）,ちびとねりこ,,小托涅利科,超威力溜め攻撃（Lv.1）
敌人技能（其他）,フォースショック,,力场弹,単体魔法攻撃
BOSS技能：ウォルファントム,かみつき,,咬噬,単体物理攻撃
BOSS技能：Ａ．Ｂ．Ｒ．α（1）,パルスレイザー,,脉冲激光,単体物理攻撃
BOSS技能：Ａ．Ｂ．Ｒ．α（1）,ホーミングビット,,制导比特,前衛物理攻撃
BOSS技能：Ａ．Ｂ．Ｒ．α（1）,パワードダイブ,,强力俯冲,
BOSS技能：Ａ．Ｂ．Ｒ．α,フルリカバリー,,完全恢复,自身のＨＰ回復
BOSS技能：ボルド・レード,スタンピード,,践踏,単体物理攻撃
BOSS技能：ボルド・レード,アースクラック,,地裂,全体物理攻撃＋3Hit
BOSS技能：フラウト,朧討ち,,胧讨,単体物理攻撃
BOSS技能：フラウト,蛇咬針,,蛇咬针,単体物理攻撃＋毒効果
BOSS技能：フラウト,三身散華,,三身散华,物理溜め攻撃 Lv.1＋3Hit
BOSS技能：ＥＬＭＡ−?,バグズファング,,漏洞獠牙,単体物理攻撃
BOSS技能：ＥＬＭＡ−?,クロスカット,,交叉斩,単体物理攻撃＋6Hit
BOSS技能：ＥＬＭＡ−?,システムブレイク,,系统崩溃,全体攻撃力、防御力、素早さ低下
BOSS技能：ＥＬＭＡ−?,ハーム・ウェイブ,,杀伤波动,溜め攻撃（Lv.3）＋5Hit
BOSS技能：ボルド・レード（2）,ハイボルテージ,,高压电,自身に雷打撃追加＋能力上昇
BOSS技能：ボルド・レード（2）,ドレッドチャージ,,恐怖冲锋,物理溜め攻撃（Lv.3）
BOSS技能：ファルス司祭,フォビドゥンクロウ,,禁忌之爪,単体物理攻撃
BOSS技能：ファルス司祭,エレミア・アイ,,埃雷米亚之眼,単体物理攻撃＋3Hit
BOSS技能：ファルス司祭,エレミア賛歌,,埃雷米亚赞歌,自身のＨＰ回復
BOSS技能：ファルス司祭,グラビティバニッシュ,,重力消隐,物理溜め攻撃（Lv.2）
BOSS技能：ファルス司祭,超加速,,超加速,4 回分ノンウェイト状態に。
BOSS技能：スレイプニル,波動砲,,波动炮,物理溜め攻撃（Lv.3）
BOSS技能：スレイプニル,休眠,,休眠,しばらくの間自身が行動不能に
BOSS技能：スレイプニル,復活,,复活,休眠から覚め活動再開
BOSS技能：ＥＬＭＡ−?（2）,ブレイクスピン,,断裂回旋,溜め攻撃（Lv.2）
BOSS技能：絢胤,一閃,,一闪,単体物理攻撃
BOSS技能：絢胤,破突,,突破,単体物理攻撃＋2Hit
BOSS技能：絢胤,両斬,,两斩,単体物理攻撃
BOSS技能：絢胤,轟刃,,轰刃,単体物理攻撃＋即死効果
BOSS技能：絢胤,朧影,,胧影,一定確率で攻撃を無効化
BOSS技能：シュレリア,サテライトストライク,,卫星打击,単体魔法攻撃
BOSS技能：シュレリア,サテライトレイン,,卫星轰炸,全体魔法攻撃＋5Hit
BOSS技能：シュレリア,プライマル・ワード,,起始之语,魔法溜め攻撃（Lv.1）
BOSS技能：シュレリア,アルトネリコ,,阿尔托涅利科,魔法溜め攻撃（Lv.3）
BOSS技能：シャドウ・ミュール（魔神）,キル,,斩,単体物理攻撃
BOSS技能：シャドウ・ミュール（魔神）,ハカイノチカラ,,破坏之力,全体物理攻撃
BOSS技能：シャドウ・ミュール（魔神）,ミナゴワシ,,皆杀,単体物理攻撃
BOSS技能：シャドウ・ミュール（魔神）,マワル,,回旋,物理溜め攻撃（Lv.3）
BOSS技能：タスティエーラ,ゲートオープン,,开门,単体魔法攻撃＋自身が無実体化
BOSS技能：タスティエーラ,ゲートクローズ,,关门,単体魔法攻撃＋自身が実体化
BOSS技能：光の御子,流形・一乃舞,,流形·一乃舞,単体物理攻撃＋10Hit
BOSS技能：光の御子,破形・絶剄衝破,,破形·绝劲冲破,単体物理攻撃＋行動ゲージを 0 に
BOSS技能：光の御子,飛形・昇輪洛陽,,飞形·升轮落阳,単体物理攻撃＋4Hit
BOSS技能：光の御子,舞形・闘姫究極演舞,,舞形·斗姬究极演舞,単体物理攻撃＋15Hit＋即死効果
BOSS技能：光の御子,滅形・殺一兆星射斗,,灭形·杀一兆星射斗,溜め攻撃（Lv.3）
BOSS技能：Ａ．Ｂ．Ｒ．β（2）,魔法吸収,,魔法吸收,赤魔法を吸収し無効化する。その後デリートモード移行
BOSS技能：Ａ．Ｂ．Ｒ．β（2）,イレイザーカノン,,灭绝大炮,溜め攻撃（Lv.3）デリートモード時のみ使用
